Location,Trainer,Pokemon,Level,Item,Move 1,Move 2,Move 3,Move 4,EXP
Cherrygrove City,Rival1 RIVAL1 (1) ?,Chikorita,8,Berry,Tackle,Growl,No Move,No Move,109
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Rival1 RIVAL1 (2) ?,Cyndaquil,8,Berry,Tackle,Smokescreen,No Move,No Move,111
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Rival1 RIVAL1 (3) ?,Totodile,8,Berry,Scratch,Leer,No Move,No Move,113
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Route 30,Youngster YOUNGSTER (1) JOEY,Rattata,12,Pink Bow,Quick Attack,Bite,No Move,No Move,146
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Youngster YOUNGSTER (2) MIKEY,Pidgey,11,Berry,Quick Attack,Gust,No Move,No Move,129
,,Sentret,11,Berry,Rollout,No Move,No Move,No Move,134
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,BugCatcher BUG_CATCHER (1) DON,Ledyba,11,Berry,Toxic,Mega Drain,Gust,Mach Punch,127
,,Spinarak,12,Berry,Acid,Leech Life,Mega Drain,No Move,138
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Route 31,BugCatcher BUG_CATCHER (4) WADE,Paras,11,Berry,Body Slam,Mega Drain,Stun Spore,Leech Life,165
,,Venonat,11,Berry,Psybeam,Stun Spore,Mega Drain,No Move,176
,,Krabby,11,Berry,Bubblebeam,Vicegrip,Mud Slap,No Move,271
,,Slugma,11,Berry,Flame Wheel,Protect,Toxic,Rock Throw,183
,,,,,,,,,
,,,,,,,,,
Sprout Tower,Sage SAGE (7) EDMOND,Poliwag,12,Berry,Bubblebeam,Body Slam,Hypnosis,No Move,198
,,Cubone,10,Thick Club,Bone Club,Rock Throw,Headbutt,No Move,186
,,Bellsprout,12,Berry,Razor Leaf,Sleep Powder,Acid,No Move,216
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Sage SAGE (2) NICO,Hoppip,12,Berry,Stun Spore,Sleep Powder,Mega Drain,Gust,190
,,Larvitar,12,Berry,Rock Throw,Bite,Headbutt,Dig,172
,,Psyduck,12,Berry,Bubblebeam,Psybeam,Hypnosis,Powder Snow,205
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Sage SAGE (1) CHOW,Abra,12,Berry,Confusion,Thunderpunch,Thunder Wave,Ice Punch,192
,,Eevee,12,Berry,Curse,Headbutt,Quick Attack,Double Kick,236
,,Hoothoot,13,Berry,Night Shade,Confusion,Hypnosis,Wing Attack,161
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Sage SAGE (4) TROY,Swinub,13,Berry,Powder Snow,Dig,Attract,No Move,217
,,Aipom,12,No Item,Swift,Quick Attack,Mud Slap,No Move,241
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Sage SAGE (3) JIN,Seel,13,Berry,Bubblebeam,Icy Wind,Sing,Headbutt,278
,,Mareep,14,Berry,Spark,Headbutt,Thunder Wave,Quick Attack,177
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Sage SAGE (8) NEAL,Growlithe,14,Berry,Flame Wheel,Bite,Headbutt,Morning Sun,273
,,Tentacool,14,Berry,Bubblebeam,Acid,Aurora Beam,Barrier,315
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Sage SAGE (9) LI,Elekid,14,Berry,Spark,Ice Punch,Quick Attack,Low Kick,318
,,Sunflora,14,Miracleberry,Mega Drain,Sludge,Toxic,Protect,438
,,Sudowoodo,13,Berry,Rock Throw,Low Kick,No Move,No Move,376
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ruins of Alph,Psychic PSYCHIC_T (1) NATHAN,Smoochum,15,Berry,Icy Wind,Lovely Kiss,Psybeam,No Move,279
,,Magby,16,Berry,Fire Punch,Mach Punch,Dizzy Punch,Thunderpunch,401
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Violet City Gym,BirdKeeper BIRD_KEEPER (2) ABE,Spearow,15,Berry,Wing Attack,Swift,Quick Attack,Steel Wing,186
,,Doduo,14,Berry Juice,Peck,Swift,Double Kick,Steel Wing,288
,,Pidgey,15,Berry,Wing Attack,Quick Attack,Steel Wing,Swift,176
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,BirdKeeper BIRD_KEEPER (1) ROD,Natu,14,Berry Juice,Peck,Confusion,Confuse Ray,Mega Drain,219
,,Farfetch D,13,Stick,Peck,Scratch,Karate Chop,No Move,261
,,Zubat,15,Berry,Hypnosis,Wing Attack,Sludge,Giga Drain,173
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Falkner FALKNER (1) FALKNER,Murkrow,14,Berry,Pursuit,Night Shade,Peck,No Move,321
,,Mantine,14,Mystic Water,Confuse Ray,Toxic,Water Gun,Powder Snow,504
,,Gligar,14,Berry,Rock Throw,Wing Attack,Steel Wing,No Move,324
,,Togetic,14,Berry Juice,Metronome,Softboiled,No Move,No Move,342
,,Pidgeotto,16,Berry,Razor Wind,Quick Attack,Steel Wing,Wing Attack,387
,,Noctowl,15,Berry,Hypnosis,Confusion,Night Shade,Quick Attack,520
Route 32 (gauntlet),Youngster YOUNGSTER (3) ALBERT,Ekans,19,Berry,Sludge,Glare,Mega Drain,Headbutt,252
,,Flaaffy,18,Berry,Spark,Fire Punch,Thunder Wave,Iron Tail,451
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Picnicker PICNICKER (1) LIZ,Sandshrew,18,Berry Juice,Magnitude,Slash,Rock Throw,Counter,358
,,Rattata,18,Berry Juice,Hyper Fang,Double Kick,Quick Attack,Crunch,219
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Fisher FISHER (5) HENRY,Wooper,19,Berry,Surf,Dig,Ice Punch,No Move,211
,,Poliwag,19,Berry,Bubblebeam,Hypnosis,Ice Punch,Body Slam,313
,,Qwilfish,18,Berry Juice,Bubblebeam,Sludge,Headbutt,Faint Attack,385
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Fisher FISHER (2) RALPH,Tentacool,19,Berry,Sludge,Giga Drain,Surf,Aurora Beam,427
,,Slowpoke,19,Berry,Psybeam,Bubblebeam,Disable,Tri Attack,403
,,Horsea,19,Berry,Waterfall,Dragonbreath,Aurora Beam,Sludge,337
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Youngster YOUNGSTER (4) GORDON,Snubbull,19,Berry,Return,Lovely Kiss,Shadow Ball,Karate Chop,256
,,Clefairy,20,Berry,Dizzy Punch,Thunderpunch,Attract,Fire Punch,291
,,Chansey,19,Lucky Punch,Dizzy Punch,Softboiled,Thunder Wave,Attract,1038
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,BirdKeeper BIRD_KEEPER (13) PETER,Farfetch D,18,Stick,Wing Attack,Slash,Steel Wing,Karate Chop,362
,,Doduo,20,Berry,Wing Attack,Headbutt,Double Kick,Quick Attack,411
,,Delibird,18,Berry,Aurora Beam,Wing Attack,Present,Quick Attack,705
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Union cave,Hiker HIKER (18) DANIEL,Machop,22,Berry,Submission,Rock Slide,Seismic Toss,No Move,353
,,Geodude,22,Pink Bow,Rock Slide,Dig,Body Slam,No Move,344
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Firebreather FIREBREATHER (5) BILL,Koffing,20,Pink Bow,Sludge,Selfdestruct,Flamethrower,Psybeam,488
,,Vulpix,22,Berry,Flame Wheel,Confuse Ray,Bite,Psybeam,297
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Hiker HIKER (2) RUSSELL,Geodude,22,Focus Band,Rock Throw,Dig,Body Slam,No Move,344
,,Zubat,22,Berry,Sludge,Giga Drain,Confuse Ray,Wing Attack,254
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Firebreather FIREBREATHER (7) RAY,Magby,22,Berry,Fire Punch,Seismic Toss,Mach Punch,Dynamicpunch,551
,,Slugma,22,Berry,Flame Wheel,Rock Slide,Lovely Kiss,No Move,367
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Hiker HIKER (3) PHILLIP,Tyrogue,22,Berry Juice,Jump Kick,Rock Slide,Earthquake,Mach Punch,429
,,Marill,22,Berry,Waterfall,Ice Beam,Double Edge,Seismic Toss,273
,,Rhyhorn,21,Berry,Rock Throw,Drill Peck,Dig,Body Slam,607
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Pokemaniac POKEMANIAC (2) ANDREW,Elekid,21,Berry,Thunderpunch,Ice Punch,Fire Punch,Dizzy Punch,477
,,Slowpoke,22,Berry,Bubblebeam,Psybeam,Aurora Beam,Tri Attack,466
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Hiker HIKER (4) LEONARD,Onix,21,Pink Bow,Selfdestruct,Rock Slide,Dig,No Move,486
,,Clefairy,22,Miracleberry,Psybeam,Body Slam,Moonlight,Ice Punch,320
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Pokemaniac POKEMANIAC (3) CALVIN,Nidorino,21,Miracleberry,Sludge,Double Kick,Bubblebeam,Megahorn,531
,,Nidorina,21,Miracleberry,Sludge,Crunch,Bubblebeam,Body Slam,526
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Pokemaniac POKEMANIAC (1) LARRY,Lickitung,21,Berry,Headbutt,Thunderpunch,Rollout,Rock Slide,571
,,Furret,22,Miracleberry,Swift,Surf,Thunderpunch,Shadow Ball,546
,,Smeargle,22,Focus Band,Swift,Submission,Spore,Psychic M,499
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Route 33,Hiker HIKER (5) ANTHONY,Mankey,22,Berry,Karate Chop,Rock Slide,Thrash,Thunderpunch,348
,,Diglett,22,Blackbelt I,Dig,Rock Slide,Slash,Reversal,381
,,Gastly,20,Berry,Sludge,Psybeam,Ice Punch,Thunderpunch,407
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Slowpoke well,GruntM GRUNTM (29) GRUNT,Houndour,22,Berry,Flame Wheel,Bite,Headbutt,Quick Attack,537
,,Drowzee,23,Berry,Psybeam,Seismic Toss,Ice Punch,Thunderpunch,502
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,GruntF GRUNTF (1) GRUNT,Gastly,22,Berry,Sludge,Thunderpunch,Ice Punch,Shadow Ball,447
,,Sneasel,20,Berry,Slash,Metal Claw,Surf,Quick Attack,565
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,GruntM GRUNTM (2) GRUNT,Magnemite,23,Berry,Spark,Thunder Wave,Sonicboom,Selfdestruct,438
,,Porygon,21,Berry,Psybeam,Recover,Tri Attack,Thunder Wave,585
*move twave to lvl 21*,,Dratini,23,No Item,Dragon Rage,Bubblebeam,No Move,No Move,330
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
cannot change team ,GruntM GRUNTM (1) GRUNT,Kadabra,21,Berry Juice,Confusion,Thunderpunch,Ice Punch,Fire Punch,652
for rival afterwards,,Koffing,22,Berry Juice,Toxic,Sludge,Flamethrower,Thunderbolt,537
,,Raticate,22,Berry Juice,Headbutt,Crunch,Quick Attack,Iron Tail,546
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Azalea town,Rival1 RIVAL1 (4) ?,Ditto,22,Berry,Transform,,,,287
,,Mr  Mime,21,Berry,Psybeam,Thunderpunch,Hypnosis,Seismic Toss,612
,,Bayleef,23,Berry Juice,Synthesis,Giga Drain,Body Slam,Sludge Bomb,694
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Rival1 RIVAL1 (5) ?,Ditto,22,Berry,Transform,,,,287
,,Mr  Mime,21,Berry,Psybeam,Thunderpunch,Hypnosis,Fire Punch,612
,,Quilava,23,Berry Juice,Fire Punch,Double Edge,Iron Tail,Quick Attack,699
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Rival1 RIVAL1 (6) ?,Ditto,22,Berry,Transform,,,,287
,,Mr  Mime,21,Berry,Psybeam,Ice Punch,Hypnosis,Fire Punch,612
,,Croconaw,23,Berry Juice,Waterfall,Ice Punch,Crunch,Double Edge,704
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Azalea Gym,Twins TWINS (1) AMY & MAY,Omanyte,23,Berry,Surf,Rock Slide,Ice Beam,No Move,487
,,Parasect,23,Berry,Leech Life,Psybeam,Spore,Giga Drain,630
,,Arbok,22,Berry,Sludge,Giga Drain,Crunch,No Move,693
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,BugCatcher BUG_CATCHER (7) JOSH,Yanma,22,Berry Juice,Giga Drain,Leech Life,Sweet Kiss,Wing Attack,693
,,Heracross,22,Berry,Karate Chop,Rock Throw,Headbutt,Pin Missile,942
,,Golbat,22,Miracleberry,Sludge,Giga Drain,Confuse Ray,Shadow Ball,806
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,BugCatcher BUG_CATCHER (6) AL,Beedrill,22,Berry,Megahorn,Sludge,Giga Drain,No Move,749
,,Kabuto,22,Berry,Rock Slide,Hydro Pump,Submission,Aurora Beam,466
,,Delibird,21,Berry,Aurora Beam,Wing Attack,Quick Attack,No Move,823
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,BugCatcher BUG_CATCHER (5) BENNY,Pupitar,23,Berry,Rock Slide,Earthquake,Crunch,Return,709
,,Ledian,24,Berry,Wing Attack,Steel Wing,Giga Drain,Light Screen,689
,,Pineco,23,Pink Bow,Body Slam,Giga Drain,Rock Slide,Pin Missile,295
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Bugsy BUGSY (1) BUGSY,Butterfree,24,Gold Berry,Sleep Powder,Psychic M,Psywave,Giga Drain,822
,,Dunsparce,24,Gold Berry,Glare,Headbutt,Bite,Rock Slide,642
,,Pinsir,23,Leftovers,Body Slam,Rock Slide,Vital Throw,Seismic Toss,985
,,Ariados,24,Gold Berry,Sludge,Night Shade,Giga Drain,Psychic M,689
,,Scyther,24,Miracleberry,Quick Attack,Slash,Steel Wing,Wing Attack,961
,,Shuckle,25,Leftovers,Toxic,Sandstorm,Protect,Wrap,428
Ilex forest,BugCatcher BUG_CATCHER (19) WAYNE,Beedrill,26,Berry,Giga Drain,Sludge Bomb,Twineedle,Return,885
,,Venonat,29,Berry,Sludge Bomb,Giga Drain,Sleep Powder,Dream Eater,466
,,Ledian,26,Berry,Leech Life,Submission,Psychic M,Giga Drain,746
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Route 34,CooltrainerF COOLTRAINERF (6) IRENE,Staryu,26,Berry,Waterfall,Thunderbolt,Aurora Beam,Psychic M,590
,,Weepinbell,26,Berry,Razor Leaf,Sludge Bomb,Sleep Powder,Body Slam,841
,,Azumarill,26,Berry,Bubblebeam,Body Slam,Ice Punch,Rollout,852
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
immediate,CooltrainerF COOLTRAINERF (17) JENN,Ponyta,26,Berry,Flame Wheel,Iron Tail,Double Kick,Quick Attack,846
,,Skiploom,26,Miracleberry,Sleep Powder,Substitute,Leech Seed,Wing Attack,757
,,Pikachu,27,Berry Juice,Thunderbolt,Iron Tail,Surf,Submission,474
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
immediate,CooltrainerF COOLTRAINERF (5) KATE,Nidorina,26,Berry Juice,Sludge Bomb,Surf,Crunch,Body Slam,651
gives soft sand (talk after battle),,Dratini,27,Berry,Dragonbreath,Thunderbolt,Waterfall,Thunder Wave,387
,,Corsola,26,Berry Juice,Waterfall,Ice Beam,Mirror Coat,Rock Slide,629
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Youngster YOUNGSTER (6) IAN,Donphan,26,Berry,Rollout,Dig,Body Slam,Curse,1053
,,Teddiursa,27,Berry Juice,Body Slam,Submission,Rock Slide,No Move,717
,,Fearow,26,Miracleberry,Swift,Wing Attack,Quick Attack,No Move,902
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Youngster YOUNGSTER (5) SAMUEL,Ivysaur,26,Berry Juice,Giga Drain,Sludge,Sleep Powder,Double Edge,785
,,Charmeleon,26,Miracleberry,Fire Punch,Thunderpunch,Dragonbreath,Submission,791
,,Wartortle,26,Miracleberry,Waterfall,Ice Punch,Seismic Toss,Bite,796
,,Sandslash,26,Berry Juice,Dig,Rock Slide,Return,Submission,908
,,,,,,,,,
,,,,,,,,,
immediate,Picnicker PICNICKER (2) GINA,Croconaw,26,Berry,Waterfall,Ice Punch,Body Slam,Crunch,796
,,Quilava,26,Berry Juice,Fire Punch,Thunderpunch,Iron Tail,Body Slam,791
